ts,value
0,-2.279370992979915
1,-2.5024032929677125
2,-2.7647942341298273
3,-2.279370992979915
4,-2.7647942341298273
5,-2.5024032929677125
6,-2.3449687282704437
7,-2.2400123518055977
8,-1.9776214106434828
9,-1.8989041282948484
10,-1.715230469481368
11,-1.5840349989003106
12,-1.5315568106678876
13,-1.5840349989003106
14,-1.5840349989003106
15,-1.8464259400624254
16,-1.8464259400624254
17,-2.2400123518055977
18,-1.9251432224110598
19,-2.5024032929677125
20,-2.6335987635487697
21,-1.9776214106434828
22,-2.2400123518055977
23,-2.2400123518055977
24,-1.662752281248945
25,-2.10881688122454
26,-1.9776214106434828
27,-1.6889913753651566
28,-1.9776214106434828
29,-1.9776214106434828
30,-1.7021109224232622
31,-2.10881688122454
32,-1.715230469481368
33,-1.3741222459706188
34,-1.3216440577381958
35,-1.059253116576081
36,-1.1904485871571384
37,-1.059253116576081
38,-1.059253116576081
39,-1.2954049636219844
40,-1.3216440577381958
41,-1.5840349989003106
42,-1.3478831518544072
43,-1.9776214106434828
44,-1.9776214106434828
45,-1.4790786224354646
46,-1.9776214106434828
47,-2.10881688122454
48,-1.5184372636097818
49,-1.8464259400624254
50,-1.715230469481368
51,-1.4266004342030418
52,-1.715230469481368
53,-1.5840349989003106
54,-1.3347636047963016
55,-1.5840349989003106
56,-1.1904485871571384
57,-0.7706230812977549
58,-0.9280576459950236
59,-0.6656667048329089
60,-0.5607103283680629
61,-0.6656667048329089
62,-0.7968621754139662
63,-0.6000689695423802
64,-0.6656667048329089
65,-0.9280576459950236
66,-0.8099817224720719
67,-1.1904485871571384
68,-1.3216440577381958
69,-0.9280576459950236
70,-1.5840349989003106
71,-1.4528395283192532
72,-1.0723726636341868
73,-1.5840349989003106
74,-1.715230469481368
75,-1.1510899459828212
76,-1.4528395283192532
77,-1.4528395283192532
78,-0.9936553812855523
79,-1.059253116576081
80,-0.6656667048329089
81,-0.5607103283680629
82,-0.2720802930897367
83,-0.2720802930897367
84,-0.3245584813221595
85,-0.5344712342518515
86,-0.5344712342518515
87,-0.6525471577748032
88,-0.7968621754139662
89,-0.9280576459950236
90,-0.6656667048329089
91,-0.9280576459950236
92,-0.7968621754139662
93,-0.5082321401356401
94,-0.7968621754139662
95,-0.9280576459950236
96,-0.6000689695423802
97,-1.059253116576081
98,-1.1904485871571384
99,-0.3639171224964768
100,-0.9280576459950236
101,-1.059253116576081
102,-0.5869494224842745
103,-0.9280576459950236
104,-0.4032757636707941
105,-0.009689351927621897
106,0.2527015892344929
107,0.2527015892344929
108,0.17398430688585825
109,0.1215061186534355
110,0.1215061186534355
111,0.029669289246695416
112,-0.4032757636707941
113,-0.5344712342518515
114,-0.14088482250867929
115,-0.7968621754139662
116,-0.7968621754139662
117,-0.5213516871937458
118,-1.059253116576081
119,-0.5475907813099572
120,-0.5475907813099572
121,-1.059253116576081
122,-1.1904485871571384
123,-0.7181448930653319
124,-1.1904485871571384
125,-1.1904485871571384
126,-0.4688734989613228
127,-1.059253116576081
128,-0.6656667048329089
129,0.042788836304800876
130,-0.009689351927621897
131,0.1215061186534355
132,0.016549742188589487
133,-0.009689351927621897
134,-0.14088482250867929
135,-0.3245584813221595
136,-0.4032757636707941
137,-0.2720802930897367
138,-0.3507975754383713
139,-0.4032757636707941
140,-0.2720802930897367
141,-0.4032757636707941
142,-0.4032757636707941
143,-0.14088482250867929
144,-0.3245584813221595
145,-0.4032757636707941
146,-0.6656667048329089
147,-0.8231012695301776
148,-0.9280576459950236
149,-0.9280576459950236
150,-0.8624599107044949
151,-0.7968621754139662
152,-0.7968621754139662
153,-0.6919057989491203
154,-0.4032757636707941
155,-0.4032757636707941
156,-0.5082321401356401
157,-0.5344712342518515
158,-0.5344712342518515
159,-0.6000689695423802
160,-0.6656667048329089
161,-0.6656667048329089
162,-0.6656667048329089
163,-0.6656667048329089
164,-0.7968621754139662
165,-0.7706230812977549
166,-0.9280576459950236
167,-1.059253116576081
168,-0.8362208165882835
169,-1.1904485871571384
170,-1.4528395283192532
171,-0.8886990048207063
172,-1.5840349989003106
173,-1.8464259400624254
174,-1.0854922106922924
175,-1.4528395283192532
176,-0.9280576459950236
177,-0.6394276107166975
178,-0.4032757636707941
179,-0.2720802930897367
180,-0.2983193872059481
181,-0.14088482250867929
182,-0.2720802930897367
183,-0.4426344048451114
184,-1.059253116576081
185,-1.1904485871571384
186,-0.8493403636463892
187,-1.4528395283192532
188,-1.4528395283192532
189,-0.9280576459950236
190,-1.5840349989003106
191,-1.5840349989003106
192,-1.0330140224598696
193,-1.5840349989003106
