ts,value
0,-2.3508764000111264
1,-2.3262075810631413
2,-2.572895770542996
3,-2.424882856855083
4,-2.572895770542996
5,-2.3262075810631413
6,-2.2028634863232135
7,-2.079519391583286
8,-1.8328312021034312
9,-1.7094871073635036
10,-1.5861430126235763
11,-1.4627989178836487
12,-1.4627989178836487
13,-1.4627989178836487
14,-1.4627989178836487
15,-1.5614741936755907
16,-1.7094871073635036
17,-2.079519391583286
18,-2.3015387621151557
19,-2.3262075810631413
20,-2.4495516758030687
21,-2.3015387621151557
22,-2.079519391583286
23,-2.079519391583286
24,-2.0055129347393295
25,-1.9561752968433586
26,-1.8328312021034312
27,-1.8328312021034312
28,-1.8328312021034312
29,-1.8328312021034312
30,-1.8575000210514165
31,-1.9561752968433586
32,-1.5861430126235763
33,-1.2901171852477502
34,-1.2161107284037938
35,-0.9694225389239387
36,-0.9200849010279676
37,-0.9694225389239387
38,-0.9694225389239387
39,-1.0927666336638662
40,-1.2161107284037938
41,-1.4627989178836487
42,-1.5368053747276051
43,-1.8328312021034312
44,-1.8328312021034312
45,-1.78349356420746
46,-1.8328312021034312
47,-1.9561752968433586
48,-1.6848182884155183
49,-1.7094871073635036
50,-1.5861430126235763
51,-1.5614741936755907
52,-1.5861430126235763
53,-1.4627989178836487
54,-1.5121365557796198
55,-1.4627989178836487
56,-1.0927666336638662
57,-1.0680978147158808
58,-0.8460784441840111
59,-0.5993902547041562
60,-0.6733967115481126
61,-0.5993902547041562
62,-0.7227343494440837
63,-0.5993902547041562
64,-0.5993902547041562
65,-0.8460784441840111
66,-0.9447537199759533
67,-1.0927666336638662
68,-1.2161107284037938
69,-1.3641236420917067
70,-1.4627989178836487
71,-1.339454823143721
72,-1.487467736831634
73,-1.4627989178836487
74,-1.5861430126235763
75,-1.2654483662997646
76,-1.339454823143721
77,-1.339454823143721
78,-1.3147860041957358
79,-0.9694225389239387
80,-0.5993902547041562
81,-0.5993902547041562
82,-0.22935797048437365
83,-0.22935797048437365
84,-0.3033644273283303
85,-0.47604615996422867
86,-0.47604615996422867
87,-0.6487278926001272
88,-0.7227343494440837
89,-0.8460784441840111
90,-0.7474031683920691
91,-0.8460784441840111
92,-0.7227343494440837
93,-0.6733967115481126
94,-0.7227343494440837
95,-0.8460784441840111
96,-1.0680978147158808
97,-0.9694225389239387
98,-1.0927666336638662
99,-0.9200849010279676
100,-0.8460784441840111
101,-0.9694225389239387
102,-1.0187601768199097
103,-0.8460784441840111
104,-0.35270206522430114
105,-0.032007418900489464
106,0.26401840847533636
107,0.26401840847533636
108,0.19001195163137968
109,0.14067431373540887
110,0.14067431373540887
111,-0.10601387574444614
112,-0.35270206522430114
113,-0.47604615996422867
114,-0.6487278926001272
115,-0.10601387574444614
116,-0.7227343494440837
117,-0.7967408062880401
118,-0.9694225389239387
119,-0.9694225389239387
120,-0.9694225389239387
121,-0.9694225389239387
122,-1.0927666336638662
123,-1.1174354526118515
124,-1.0927666336638662
125,-1.0927666336638662
126,-1.043428995767895
127,-0.9694225389239387
128,-0.5993902547041562
129,-0.13068269469243154
130,0.017330218995481365
131,0.14067431373540887
132,0.09133667583943804
133,0.017330218995481365
134,-0.10601387574444614
135,-0.13068269469243154
136,-0.35270206522430114
137,-0.22935797048437365
138,-0.37737088417228654
139,-0.35270206522430114
140,-0.22935797048437365
141,-0.4020397031202722
142,-0.35270206522430114
143,-0.10601387574444614
144,-0.10601387574444614
145,-0.35270206522430114
146,-0.5993902547041562
147,-0.7967408062880401
148,-0.8460784441840111
149,-0.8460784441840111
150,-0.7720719873400547
151,-0.7227343494440837
152,-0.7227343494440837
153,-0.5747214357561707
154,-0.35270206522430114
155,-0.35270206522430114
156,-0.4020397031202722
157,-0.47604615996422867
158,-0.47604615996422867
159,-0.5253837978601997
160,-0.5993902547041562
161,-0.5993902547041562
162,-0.6487278926001272
163,-0.5993902547041562
164,-0.7227343494440837
165,-0.7474031683920691
166,-0.8460784441840111
167,-0.9694225389239387
168,-0.8214096252360258
169,-1.0927666336638662
170,-1.339454823143721
171,-1.5614741936755907
172,-1.4627989178836487
173,-1.7094871073635036
174,-1.8328312021034312
175,-1.339454823143721
176,-0.8460784441840111
177,-0.5007149789122141
178,-0.35270206522430114
179,-0.22935797048437365
180,-0.20468915153638823
181,-0.10601387574444614
182,-0.22935797048437365
183,-0.3033644273283303
184,-0.9694225389239387
185,-1.0927666336638662
186,-1.240779547351779
187,-1.339454823143721
188,-1.339454823143721
189,-1.3641236420917067
190,-1.4627989178836487
191,-1.4627989178836487
192,-1.5861430126235763
193,-1.4627989178836487
194,-1.4627989178836487
195,-1.5861430126235763
196,-1.5861430126235763
197,-1.5861430126235763
198,-1.6354806505195472
199,-1.339454823143721
200,-0.8460784441840111
201,-0.47604615996422867
202,-0.22935797048437365
203,-0.22935797048437365
204,-0.22935797048437365
205,-0.35270206522430114
206,-0.35270206522430114
207,-0.5007149789122141
208,-0.5993902547041562
209,-0.8460784441840111
210,-0.8954160820799822
211,-0.8460784441840111
212,-0.8460784441840111
213,-0.8460784441840111
214,-0.9694225389239387
215,-1.0927666336638662
216,-1.0187601768199097
217,-0.9694225389239387
218,-1.0927666336638662
219,-1.0927666336638662
220,-1.0927666336638662
221,-1.0927666336638662
222,-1.0680978147158808
223,-0.9694225389239387
224,-0.8460784441840111
225,-0.8954160820799822
226,-0.7227343494440837
227,-0.7227343494440837
228,-0.6980655304960982
229,-0.7227343494440837
230,-0.5993902547041562
231,-0.6733967115481126
232,-0.9694225389239387
233,-1.0927666336638662
234,-1.1667730905078226
235,-1.2161107284037938
236,-1.0927666336638662
237,-1.2901171852477502
238,-1.2161107284037938
239,-1.339454823143721
240,-1.3887924610396922
241,-1.4627989178836487
242,-1.4627989178836487
243,-1.3147860041957358
244,-1.4627989178836487
245,-1.339454823143721
246,-1.3887924610396922
247,-1.0927666336638662
248,-0.5993902547041562
249,-0.4020397031202722
250,-0.22935797048437365
251,-0.22935797048437365
252,-0.056676237848475315
253,-0.10601387574444614
254,0.14067431373540887
255,-0.08134505679646073
256,-0.35270206522430114
257,-0.5993902547041562
258,-0.25402678943235907
259,-0.35270206522430114
260,-0.8460784441840111
261,-0.7227343494440837
262,-0.7227343494440837
263,-1.0927666336638662
264,-1.1914419094558082
265,-0.9694225389239387
266,-1.0927666336638662
267,-1.0927666336638662
268,-1.339454823143721
269,-0.8460784441840111
270,-1.043428995767895
271,-0.47604615996422867
272,-0.22935797048437365
273,-0.25402678943235907
274,-0.10601387574444614
275,0.14067431373540887
276,0.3133560463713072
277,0.26401840847533636
278,0.26401840847533636
279,0.04199903794346678
280,-0.22935797048437365
281,-0.47604615996422867
282,-0.7720719873400547
283,-0.8460784441840111
284,-0.8460784441840111
285,-0.9200849010279676
286,-0.9694225389239387
287,-0.9694225389239387
288,-0.9447537199759533
289,-0.8460784441840111
290,-0.5993902547041562
291,-0.5253837978601997
292,-0.9694225389239387
293,-1.2161107284037938
294,-1.339454823143721
295,-0.7227343494440837
296,-0.35270206522430114
297,-0.15535151364041697
298,-0.10601387574444614
299,-0.22935797048437365
300,-0.15535151364041697
301,-0.10601387574444614
302,-0.22935797048437365
303,-0.3033644273283303
304,-0.47604615996422867
305,-0.5993902547041562
306,-0.5500526168081851
307,-0.5993902547041562
308,-0.7227343494440837
309,-0.7474031683920691
310,-0.9694225389239387
311,-1.2161107284037938
312,-1.240779547351779
313,-1.339454823143721
314,-1.339454823143721
315,-1.240779547351779
316,-1.4627989178836487
317,-1.339454823143721
318,-1.043428995767895
319,-0.8460784441840111
320,-0.7227343494440837
321,-0.5747214357561707
322,-0.47604615996422867
323,-0.47604615996422867
324,-0.37737088417228654
325,-0.35270206522430114
326,-0.35270206522430114
327,-0.5007149789122141
328,-0.8460784441840111
329,-1.4627989178836487
330,-1.5121365557796198
331,-1.4627989178836487
332,-1.7094871073635036
333,-1.6848182884155183
334,-1.7094871073635036
335,-1.7094871073635036
336,-1.6848182884155183
337,-1.7094871073635036
338,-1.8328312021034312
339,-1.7588247452594747
340,-1.7094871073635036
341,-1.8328312021034312
342,-1.8328312021034312
343,-1.339454823143721
344,-1.0927666336638662
345,-0.8707472631319966
346,-0.5993902547041562
347,-0.47604615996422867
348,-0.47604615996422867
349,-0.47604615996422867
350,-0.35270206522430114
351,-0.5993902547041562
352,-0.5993902547041562
353,-0.7227343494440837
354,-0.8460784441840111
355,-0.9694225389239387
356,-0.7227343494440837
357,-0.6980655304960982
358,-0.8460784441840111
359,-0.5500526168081851
360,-0.5500526168081851
361,-0.47604615996422867
362,-0.47604615996422867
363,-0.47604615996422867
364,-0.47604615996422867
365,-0.35270206522430114
366,-0.4513773410162432
367,-0.47604615996422867
368,-0.35270206522430114
369,-0.32803324627631575
370,-0.35270206522430114
371,-0.22935797048437365
372,-0.27869560838034446
373,-0.22935797048437365
374,-0.35270206522430114
375,-0.35270206522430114
376,-0.35270206522430114
377,-0.35270206522430114
378,-0.37737088417228654
379,-0.35270206522430114
380,-0.35270206522430114
381,-0.3033644273283303
382,-0.35270206522430114
383,-0.7227343494440837
384,-0.7967408062880401
385,-0.7227343494440837
386,-0.7227343494440837
387,-0.8707472631319966
388,-1.0927666336638662
389,-1.2161107284037938
390,-1.0680978147158808
391,-0.8460784441840111
392,-0.5993902547041562
393,-0.6733967115481126
394,-0.7227343494440837
395,-0.5993902547041562
396,-0.7227343494440837
397,-0.5993902547041562
398,-0.5993902547041562
399,-0.7720719873400547
400,-1.0927666336638662
401,-1.0927666336638662
402,-1.2161107284037938
403,-1.339454823143721
404,-1.4627989178836487
405,-1.4627989178836487
406,-1.5861430126235763
407,-1.5861430126235763
408,-1.5861430126235763
409,-1.5861430126235763
410,-1.5861430126235763
411,-1.6601494694675327
412,-1.7094871073635036
413,-1.7094871073635036
414,-1.7588247452594747
415,-1.7094871073635036
416,-1.7094871073635036
417,-1.7094871073635036
418,-1.7094871073635036
419,-1.7094871073635036
420,-1.7588247452594747
421,-1.8328312021034312
422,-1.8328312021034312
423,-1.882168839999402
424,-1.8328312021034312
425,-1.8328312021034312
426,-1.9068376589473877
427,-1.8328312021034312
428,-1.9561752968433586
429,-1.9068376589473877
430,-1.9561752968433586
431,-1.8328312021034312
432,-1.9068376589473877
433,-1.9561752968433586
434,-1.9561752968433586
435,-2.0055129347393295
436,-1.9561752968433586
437,-2.079519391583286
438,-2.1781946673752284
439,-1.9561752968433586
440,-1.7094871073635036
441,-1.5614741936755907
442,-1.339454823143721
443,-1.339454823143721
444,-1.2654483662997646
445,-1.2161107284037938
446,-1.2161107284037938
447,-1.4134612799876776
448,-1.5861430126235763
449,-1.7094871073635036
450,-1.6354806505195472
451,-1.5861430126235763
452,-1.5861430126235763
453,-1.5368053747276051
454,-1.4627989178836487
455,-1.4627989178836487
456,-1.487467736831634
457,-1.4627989178836487
458,-1.5861430126235763
459,-1.5861430126235763
460,-1.5861430126235763
461,-1.5861430126235763
462,-1.6354806505195472
463,-1.5861430126235763
464,-1.5861430126235763
465,-1.4134612799876776
466,-1.4627989178836487
467,-1.5861430126235763
468,-1.5614741936755907
469,-1.5861430126235763
470,-1.5861430126235763
471,-1.5614741936755907
472,-1.5861430126235763
473,-1.5861430126235763
474,-1.5861430126235763
475,-1.5861430126235763
476,-1.5861430126235763
477,-1.5861430126235763
478,-1.5861430126235763
479,-1.5861430126235763
480,-1.5861430126235763
481,-1.5861430126235763
482,-1.5861430126235763
483,-1.5368053747276051
484,-1.4627989178836487
485,-1.4627989178836487
486,-1.487467736831634
487,-1.4627989178836487
488,-1.2161107284037938
489,-0.9694225389239387
490,-0.8460784441840111
491,-0.7227343494440837
492,-0.6980655304960982
493,-0.7227343494440837
494,-0.7227343494440837
495,-0.8214096252360258
496,-1.0927666336638662
497,-1.4627989178836487
498,-1.4627989178836487
499,-1.5861430126235763
500,-1.5861430126235763
501,-1.8081623831554459
502,-1.8328312021034312
503,-1.7094871073635036
504,-1.6354806505195472
505,-1.4627989178836487
506,-1.4627989178836487
507,-1.3887924610396922
508,-1.339454823143721
509,-1.339454823143721
510,-1.3887924610396922
511,-1.339454823143721
512,-1.2161107284037938
513,-1.2161107284037938
514,-1.0927666336638662
515,-0.9694225389239387
516,-1.0187601768199097
517,-1.0927666336638662
518,-1.2161107284037938
519,-1.3641236420917067
520,-1.4627989178836487
521,-1.4627989178836487
522,-1.5121365557796198
523,-1.4627989178836487
524,-1.5861430126235763
525,-1.5614741936755907
526,-1.5861430126235763
527,-1.5861430126235763
528,-1.5614741936755907
529,-1.5861430126235763
530,-1.7094871073635036
531,-1.7094871073635036
532,-1.7094871073635036
533,-1.7094871073635036
534,-1.78349356420746
535,-1.7094871073635036
536,-1.7094871073635036
537,-1.5368053747276051
538,-1.5861430126235763
539,-1.4627989178836487
540,-1.5861430126235763
541,-1.5861430126235763
542,-1.7094871073635036
543,-1.7588247452594747
544,-1.9561752968433586
545,-1.9561752968433586
546,-1.882168839999402
547,-1.8328312021034312
548,-1.8328312021034312
549,-2.0301817536873155
550,-1.9561752968433586
551,-1.8328312021034312
552,-1.9068376589473877
553,-1.8328312021034312
554,-1.9561752968433586
555,-1.9191720684213804
556,-1.9561752968433586
557,-2.3262075810631413
558,-2.2522011242191846
559,-2.2028634863232135
