ts,value
0,-2.337297435343934
1,-2.227099536957306
2,-2.471983755594258
3,-2.3128090134802393
4,-2.471983755594258
5,-2.227099536957306
6,-2.5944258649127336
7,-1.9822153183203548
8,-1.737331099683403
9,-1.9087500527292693
10,-1.4924468810464515
11,-1.3700047717279757
12,-1.5904005685012323
13,-1.3700047717279757
14,-1.3700047717279757
15,-1.8597732090018788
16,-1.6148889903649273
17,-1.9822153183203548
18,-2.3985184900031724
19,-2.227099536957306
20,-2.349541646275782
21,-2.5699374430490387
22,-1.9822153183203548
23,-1.9822153183203548
24,-2.337297435343934
25,-1.8597732090018788
26,-1.737331099683403
27,-2.0556805839114403
28,-1.737331099683403
29,-1.737331099683403
30,-1.9577268964566596
31,-1.8597732090018788
32,-1.4924468810464515
33,-1.394493193591671
34,-1.1251205530910242
35,-0.8802363344540726
36,-1.100632131227329
37,-0.8802363344540726
38,-0.8802363344540726
39,-1.394493193591671
40,-1.1251205530910242
41,-1.3700047717279757
42,-1.8107963652744885
43,-1.737331099683403
44,-1.737331099683403
45,-2.1291458495025255
46,-1.737331099683403
47,-1.8597732090018788
48,-1.9577268964566596
49,-1.6148889903649273
50,-1.4924468810464515
51,-1.7005984668878602
52,-1.4924468810464515
53,-1.3700047717279757
54,-1.6148889903649273
55,-1.3700047717279757
56,-1.0026784437725484
57,-0.953701600045158
58,-0.7577942251355968
59,-0.5129100064986452
60,-0.8312594907266821
61,-0.5129100064986452
62,-0.6353521158171209
63,-0.7088173814082064
64,-0.5129100064986452
65,-0.7577942251355968
66,-0.953701600045158
67,-1.0026784437725484
68,-1.1251205530910242
69,-1.5291795138419944
70,-1.3700047717279757
71,-1.2475626624095
72,-1.627133201296775
73,-1.3700047717279757
74,-1.4924468810464515
75,-1.5904005685012323
76,-1.2475626624095
77,-1.2475626624095
78,-1.3700047717279757
79,-0.8802363344540726
80,-0.5129100064986452
81,-0.6353521158171209
82,-0.14558367854321777
83,-0.14558367854321777
84,-0.4394447409075597
85,-0.39046789718016933
86,-0.39046789718016933
87,-0.7088173814082064
88,-0.6353521158171209
89,-0.7577942251355968
90,-1.100632131227329
91,-0.7577942251355968
92,-0.6353521158171209
93,-0.9904342328407008
94,-0.6353521158171209
95,-0.7577942251355968
96,-0.7333058032719016
97,-0.8802363344540726
98,-1.0026784437725484
99,-0.9659458109770055
100,-0.7577942251355968
101,-0.8802363344540726
102,-1.1740973968184145
103,-0.7577942251355968
104,-0.26802578786169357
105,-0.12109525667952269
106,0.34418475873068544
107,0.34418475873068544
108,0.02583527450264818
109,0.22174264941220964
110,0.22174264941220964
111,-0.12109525667952269
112,-0.26802578786169357
113,-0.39046789718016933
114,-0.3659794753164743
115,-0.6353521158171209
116,-0.6353521158171209
117,-0.9904342328407008
118,-0.8802363344540726
119,-1.1128763421591765
120,-1.1128763421591765
121,-0.8802363344540726
122,-1.0026784437725484
123,-1.2108300296139571
124,-1.0026784437725484
125,-1.0026784437725484
126,-1.0761437093636337
127,-0.8802363344540726
128,-0.5129100064986452
129,-0.1945605222706079
130,0.09930054009373383
131,0.22174264941220964
132,0.0013468526389531067
133,0.09930054009373383
134,-0.023141569224741965
135,-0.04762999108843704
136,-0.26802578786169357
137,-0.14558367854321777
138,-0.39046789718016933
139,-0.26802578786169357
140,-0.14558367854321777
141,-0.45168895183940727
142,-0.26802578786169357
143,-0.023141569224741965
144,-0.2925142097253886
145,-0.26802578786169357
146,-0.5129100064986452
147,-0.7945268579311395
148,-0.7577942251355968
149,-0.7577942251355968
150,-0.9047247563177676
151,-0.6353521158171209
152,-0.6353521158171209
153,-0.7333058032719016
154,-0.26802578786169357
155,-0.26802578786169357
156,-0.4639331627712548
157,-0.39046789718016933
158,-0.39046789718016933
159,-0.6598405376808161
160,-0.5129100064986452
161,-0.5129100064986452
162,-0.8802363344540726
163,-0.5129100064986452
164,-0.6353521158171209
165,-1.0271668656362434
166,-0.7577942251355968
167,-0.8802363344540726
168,-1.1740973968184145
169,-1.0026784437725484
170,-1.2475626624095
171,-1.3455163498642806
172,-1.3700047717279757
173,-1.6148889903649273
174,-2.031192162047745
175,-1.2475626624095
176,-0.7577942251355968
177,-0.6108636939534259
178,-0.26802578786169357
179,-0.14558367854321777
180,-0.2435373659979985
181,-0.023141569224741965
182,-0.14558367854321777
183,-0.4394447409075597
184,-0.8802363344540726
185,-1.0026784437725484
186,-1.5169353029101467
187,-1.2475626624095
188,-1.2475626624095
189,-1.7250868887515556
190,-1.3700047717279757
191,-1.3700047717279757
192,-1.8352847871381839
193,-1.3700047717279757
194,-1.3700047717279757
195,-1.7250868887515556
196,-1.4924468810464515
197,-1.4924468810464515
198,-1.737331099683403
199,-1.2475626624095
200,-0.7577942251355968
201,-0.5618868502260355
202,-0.14558367854321777
203,-0.14558367854321777
204,-0.3170026315890839
205,-0.26802578786169357
206,-0.26802578786169357
207,-0.5618868502260355
208,-0.5129100064986452
209,-0.7577942251355968
210,-0.9292131781814629
211,-0.7577942251355968
212,-0.7577942251355968
213,-1.1251205530910242
214,-0.8802363344540726
215,-1.0026784437725484
216,-1.186341607750262
217,-0.8802363344540726
218,-1.0026784437725484
219,-1.1985858186821097
220,-1.0026784437725484
221,-1.0026784437725484
222,-1.0761437093636337
223,-0.8802363344540726
224,-0.7577942251355968
225,-0.8067710688629871
226,-0.6353521158171209
227,-0.6353521158171209
228,-0.7088173814082064
229,-0.6353521158171209
230,-0.5129100064986452
231,-0.7577942251355968
232,-0.8802363344540726
233,-1.0026784437725484
234,-0.9781900219088533
235,-1.1251205530910242
236,-1.0026784437725484
237,-1.0638994984317862
238,-1.1251205530910242
239,-1.2475626624095
240,-1.3087837170687378
241,-1.3700047717279757
242,-1.3700047717279757
243,-1.039411076568091
244,-1.3700047717279757
245,-1.2475626624095
246,-0.9047247563177676
247,-1.0026784437725484
248,-0.5129100064986452
249,-0.2925142097253886
250,-0.14558367854321777
251,-0.14558367854321777
252,-0.07211841295213212
253,-0.023141569224741965
254,0.22174264941220964
255,-0.12109525667952269
256,-0.26802578786169357
257,-0.5129100064986452
258,-0.5618868502260355
259,-0.26802578786169357
260,-0.7577942251355968
261,-0.7945268579311395
262,-0.6353521158171209
263,-1.0026784437725484
264,-0.953701600045158
265,-0.8802363344540726
266,-1.0026784437725484
267,-0.9292131781814629
268,-1.2475626624095
269,-0.7577942251355968
270,-0.7822826469992918
271,-0.39046789718016933
272,-0.14558367854321777
273,-0.1945605222706079
274,-0.023141569224741965
275,0.22174264941220964
276,0.07481211823003876
277,0.34418475873068544
278,0.34418475873068544
279,-0.04762999108843704
280,-0.14558367854321777
281,-0.39046789718016933
282,-0.6353521158171209
283,-0.7577942251355968
284,-0.7577942251355968
285,-1.100632131227329
286,-0.8802363344540726
287,-0.8802363344540726
288,-1.1373647640228717
289,-0.7577942251355968
290,-0.5129100064986452
291,-0.7333058032719016
292,-0.8802363344540726
293,-1.1251205530910242
294,-1.3700047717279757
295,-0.6353521158171209
296,-0.26802578786169357
297,-0.3659794753164743
298,-0.023141569224741965
299,-0.14558367854321777
300,-0.2435373659979985
301,-0.023141569224741965
302,-0.14558367854321777
303,-0.4639331627712548
304,-0.39046789718016933
305,-0.5129100064986452
306,-0.6843289595445113
307,-0.5129100064986452
308,-0.6353521158171209
309,-1.2598068733413474
310,-0.8802363344540726
311,-1.1251205530910242
312,-1.8720174199337265
313,-1.2475626624095
314,-1.2475626624095
315,-2.00670374018405
316,-1.3700047717279757
317,-1.2475626624095
318,-1.3210279280005854
319,-0.7577942251355968
320,-0.6353521158171209
321,-0.7088173814082064
322,-0.39046789718016933
323,-0.39046789718016933
324,-0.5129100064986452
325,-0.26802578786169357
326,-0.26802578786169357
327,-0.7333058032719016
328,-0.7577942251355968
329,-1.3700047717279757
330,-1.5904005685012323
331,-1.3700047717279757
332,-1.6148889903649273
333,-1.8352847871381839
334,-1.6148889903649273
335,-1.6148889903649273
336,-1.9822153183203548
337,-1.6148889903649273
338,-1.737331099683403
339,-1.9822153183203548
340,-1.6148889903649273
341,-1.737331099683403
342,-2.00670374018405
343,-1.2475626624095
344,-1.0026784437725484
345,-0.7577942251355968
346,-0.5129100064986452
347,-0.39046789718016933
348,-0.5863752720897306
349,-0.39046789718016933
350,-0.26802578786169357
351,-0.5863752720897306
352,-0.5129100064986452
353,-0.6353521158171209
354,-0.8312594907266821
355,-0.8802363344540726
356,-0.6353521158171209
357,-1.0026784437725484
358,-0.7577942251355968
359,-0.7822826469992918
360,-0.7822826469992918
361,-0.39046789718016933
362,-0.39046789718016933
363,-0.5618868502260355
364,-0.39046789718016933
365,-0.26802578786169357
366,-0.5618868502260355
367,-0.39046789718016933
368,-0.26802578786169357
369,-0.48842158463495006
370,-0.26802578786169357
371,-0.14558367854321777
372,-0.4394447409075597
373,-0.14558367854321777
374,-0.26802578786169357
375,-0.4639331627712548
376,-0.26802578786169357
377,-0.26802578786169357
378,-0.4394447409075597
379,-0.26802578786169357
380,-0.26802578786169357
381,-0.4272005299757122
382,-0.26802578786169357
383,-0.6353521158171209
384,-0.8190152797948347
385,-0.6353521158171209
386,-0.6353521158171209
387,-0.89248054538592
388,-1.0026784437725484
389,-1.1251205530910242
390,-1.1740973968184145
391,-0.7577942251355968
392,-0.5129100064986452
393,-0.6843289595445113
394,-0.6353521158171209
395,-0.5129100064986452
396,-0.7822826469992918
397,-0.5129100064986452
398,-0.5129100064986452
399,-0.8312594907266821
400,-1.0026784437725484
401,-1.0026784437725484
402,-1.2965395061368903
403,-1.2475626624095
404,-1.3700047717279757
405,-1.394493193591671
406,-1.4924468810464515
407,-1.4924468810464515
408,-1.565912146637537
409,-1.4924468810464515
410,-1.4924468810464515
411,-1.8475289980700313
412,-1.6148889903649273
413,-1.6148889903649273
414,-1.6883542559560127
415,-1.6148889903649273
416,-1.6148889903649273
417,-1.6883542559560127
418,-1.6148889903649273
419,-1.6148889903649273
420,-1.6883542559560127
421,-1.737331099683403
422,-1.737331099683403
423,-1.7618195215470982
424,-1.737331099683403
425,-1.737331099683403
426,-1.8352847871381839
427,-1.737331099683403
428,-1.8597732090018788
429,-1.8965058417974217
430,-1.8597732090018788
431,-1.737331099683403
432,-1.9577268964566596
433,-1.8597732090018788
434,-1.8597732090018788
435,-2.239343747889154
436,-1.8597732090018788
437,-1.9822153183203548
438,-2.5454490211853438
439,-1.8597732090018788
440,-1.6148889903649273
441,-1.5169353029101467
442,-1.2475626624095
443,-1.2475626624095
444,-1.418981615455366
445,-1.1251205530910242
446,-1.1251205530910242
447,-1.6883542559560127
448,-1.4924468810464515
449,-1.6148889903649273
450,-1.9332384745929643
451,-1.4924468810464515
452,-1.4924468810464515
453,-1.7495753106152507
454,-1.3700047717279757
455,-1.3700047717279757
456,-1.7618195215470982
457,-1.3700047717279757
458,-1.4924468810464515
459,-1.7618195215470982
460,-1.4924468810464515
461,-1.4924468810464515
462,-1.7128426778197081
463,-1.4924468810464515
464,-1.4924468810464515
465,-1.6148889903649273
466,-1.3700047717279757
467,-1.4924468810464515
468,-1.418981615455366
469,-1.4924468810464515
470,-1.4924468810464515
471,-1.565912146637537
472,-1.4924468810464515
473,-1.4924468810464515
474,-1.5414237247738418
475,-1.4924468810464515
476,-1.4924468810464515
477,-1.6148889903649273
478,-1.4924468810464515
479,-1.4924468810464515
480,-1.6761100450241653
481,-1.4924468810464515
482,-1.4924468810464515
483,-1.737331099683403
484,-1.3700047717279757
485,-1.3700047717279757
486,-1.7128426778197081
487,-1.3700047717279757
488,-1.1251205530910242
489,-1.0516552874999388
490,-0.7577942251355968
491,-0.6353521158171209
492,-1.0271668656362434
493,-0.6353521158171209
494,-0.6353521158171209
495,-1.0271668656362434
496,-1.0026784437725484
497,-1.3700047717279757
498,-1.6148889903649273
499,-1.4924468810464515
500,-1.4924468810464515
501,-1.737331099683403
502,-1.737331099683403
503,-1.6148889903649273
504,-1.8230405762063362
505,-1.3700047717279757
506,-1.3700047717279757
507,-1.5291795138419944
508,-1.2475626624095
509,-1.2475626624095
510,-1.4434700373190612
511,-1.2475626624095
512,-1.1251205530910242
513,-1.1985858186821097
514,-1.0026784437725484
515,-0.8802363344540726
516,-1.1251205530910242
517,-1.0026784437725484
518,-1.1251205530910242
519,-1.4679584591827564
520,-1.3700047717279757
521,-1.3700047717279757
522,-1.6393774122286224
523,-1.3700047717279757
524,-1.4924468810464515
525,-1.7250868887515556
526,-1.4924468810464515
527,-1.4924468810464515
528,-1.884261630865574
529,-1.4924468810464515
530,-1.6148889903649273
531,-1.969971107388507
532,-1.6148889903649273
533,-1.6148889903649273
534,-2.00670374018405
535,-1.6148889903649273
536,-1.6148889903649273
537,-1.8597732090018788
538,-1.4924468810464515
539,-1.3700047717279757
540,-1.9087500527292693
541,-1.4924468810464515
542,-1.6148889903649273
543,-2.031192162047745
544,-1.8597732090018788
545,-1.8597732090018788
546,-2.1291458495025255
547,-1.737331099683403
548,-1.737331099683403
549,-2.0556805839114403
550,-1.8597732090018788
551,-1.737331099683403
552,-2.0924132167069827
553,-1.737331099683403
554,-1.8597732090018788
555,-2.1046574276388306
556,-1.8597732090018788
557,-2.227099536957306
558,-2.1046574276388306
559,-2.1046574276388306
560,-1.737331099683403
561,-1.7618195215470982
562,-1.4924468810464515
563,-1.3700047717279757
564,-1.737331099683403
565,-1.3700047717279757
566,-1.3700047717279757
567,-1.7863079434107936
568,-1.737331099683403
569,-1.737331099683403
570,-2.1781226932299163
571,-1.8597732090018788
572,-1.737331099683403
573,-2.031192162047745
574,-1.737331099683403
575,-1.8597732090018788
576,-1.9822153183203548
577,-1.8597732090018788
578,-1.8597732090018788
579,-2.0189479511158974
580,-1.737331099683403
581,-1.737331099683403
582,-1.9332384745929643
583,-1.6148889903649273
584,-1.6148889903649273
585,-1.7618195215470982
586,-1.4924468810464515
587,-1.4924468810464515
588,-1.6883542559560127
589,-1.2475626624095
590,-1.3700047717279757
591,-1.7863079434107936
592,-1.6148889903649273
593,-1.737331099683403
594,-1.9577268964566596
595,-1.9822153183203548
596,-1.9822153183203548
597,-2.3128090134802393
598,-1.9822153183203548
599,-2.1046574276388306
600,-2.4474953337305627
601,-2.227099536957306
602,-2.227099536957306
603,-2.5944258649127336
604,-2.227099536957306
605,-2.227099536957306
606,-2.5699374430490387
607,-2.1046574276388306
