ts,value
0,-2.278173513699321
1,-2.500974463573467
2,-2.7630932281312854
3,-2.278173513699321
4,-2.7630932281312854
5,-2.500974463573467
6,-2.3437032048387754
7,-2.238855699015648
8,-1.9767369344578292
9,-1.8981013050904836
10,-1.7146181699000103
11,-1.5835587876211008
12,-1.5311350347095372
13,-1.5835587876211008
14,-1.5835587876211008
15,-1.8456775521789197
16,-1.8456775521789197
17,-2.238855699015648
18,-1.9243131815462653
19,-2.500974463573467
20,-2.6320338458523764
21,-1.9767369344578292
22,-2.238855699015648
23,-2.238855699015648
24,-1.6621944169884464
25,-2.1077963167367386
26,-1.9767369344578292
27,-1.6884062934442285
28,-1.9767369344578292
29,-1.9767369344578292
30,-1.7015122316721194
31,-2.1077963167367386
32,-1.7146181699000103
33,-1.3738637759748458
34,-1.3214400230632821
35,-1.0593212585054632
36,-1.1903806407843727
37,-1.0593212585054632
38,-1.0593212585054632
39,-1.2952281466075002
40,-1.3214400230632821
41,-1.5835587876211008
42,-1.3476518995190638
43,-1.9767369344578292
44,-1.9767369344578292
45,-1.4787112817979733
46,-1.9767369344578292
47,-2.1077963167367386
48,-1.518029096481646
49,-1.8456775521789197
50,-1.7146181699000103
51,-1.4262875288864096
52,-1.7146181699000103
53,-1.5835587876211008
54,-1.334545961291173
55,-1.5835587876211008
56,-1.1903806407843727
57,-0.7709906174918626
58,-0.9282618762265538
59,-0.666143111668735
60,-0.5612956058456073
61,-0.666143111668735
62,-0.7972024939476444
63,-0.6006134205292802
64,-0.666143111668735
65,-0.9282618762265538
66,-0.8103084321755353
67,-1.1903806407843727
68,-1.3214400230632821
69,-0.9282618762265538
70,-1.5835587876211008
71,-1.4524994053421914
72,-1.072427196733354
73,-1.5835587876211008
74,-1.7146181699000103
75,-1.1510628261006997
76,-1.4524994053421914
77,-1.4524994053421914
78,-0.9937915673660085
79,-1.0593212585054632
80,-0.666143111668735
81,-0.5612956058456073
82,-0.2729649648320067
83,-0.2729649648320067
84,-0.32538871774357025
85,-0.5350837293898255
86,-0.5350837293898255
87,-0.6530371734408441
88,-0.7972024939476444
89,-0.9282618762265538
90,-0.666143111668735
91,-0.9282618762265538
92,-0.7972024939476444
93,-0.5088718529340438
94,-0.7972024939476444
95,-0.9282618762265538
96,-0.6006134205292802
97,-1.0593212585054632
98,-1.1903806407843727
99,-0.3647065324272432
100,-0.9282618762265538
101,-1.0593212585054632
102,-0.5875074823013894
103,-0.9282618762265538
104,-0.4040243471109161
105,-0.010846200274187867
106,0.251272564283631
107,0.251272564283631
108,0.17263693491628512
109,0.12021318200472154
110,0.12021318200472154
111,0.028471614409485053
112,-0.4040243471109161
113,-0.5350837293898255
114,-0.1419055825530973
115,-0.7972024939476444
116,-0.7972024939476444
117,-0.5219777911619347
118,-1.0593212585054632
119,-0.5481896676177165
120,-0.5481896676177165
121,-1.0593212585054632
122,-1.1903806407843727
123,-0.7185668645802987
124,-1.1903806407843727
125,-1.1903806407843727
126,-0.46955403825037084
127,-1.0593212585054632
128,-0.666143111668735
129,0.04157755263737571
130,-0.010846200274187867
131,0.12021318200472154
132,0.015365676181593924
133,-0.010846200274187867
134,-0.1419055825530973
135,-0.32538871774357025
136,-0.4040243471109161
137,-0.2729649648320067
138,-0.3516005941993525
139,-0.4040243471109161
140,-0.2729649648320067
141,-0.4040243471109161
142,-0.4040243471109161
143,-0.1419055825530973
144,-0.32538871774357025
145,-0.4040243471109161
146,-0.666143111668735
147,-0.8234143704034261
148,-0.9282618762265538
149,-0.9282618762265538
150,-0.862732185087099
151,-0.7972024939476444
152,-0.7972024939476444
153,-0.6923549881245168
154,-0.4040243471109161
155,-0.4040243471109161
156,-0.5088718529340438
157,-0.5350837293898255
158,-0.5350837293898255
159,-0.6006134205292802
160,-0.666143111668735
161,-0.666143111668735
162,-0.666143111668735
163,-0.666143111668735
164,-0.7972024939476444
165,-0.7709906174918626
166,-0.9282618762265538
167,-1.0593212585054632
168,-0.8365203086313173
169,-1.1903806407843727
170,-1.4524994053421914
171,-0.8889440615428809
172,-1.5835587876211008
173,-1.8456775521789197
174,-1.085533134961245
175,-1.4524994053421914
176,-0.9282618762265538
177,-0.6399312352129531
178,-0.4040243471109161
179,-0.2729649648320067
180,-0.2991768412877885
181,-0.1419055825530973
182,-0.2729649648320067
183,-0.443342161794589
184,-1.0593212585054632
185,-1.1903806407843727
186,-0.8496262468592082
187,-1.4524994053421914
188,-1.4524994053421914
189,-0.9282618762265538
